,Ones,City Zone,m^2,Rooms,Bathrooms,Elevator,"""Atico""",Terrasse,Parking,Kitchen,House Style,Yard,Price [euros]
217,1.0,6,90,3.0,1,1,0,1,0,1,0,0,215400
218,1.0,8,95,3.0,2,1,0,0,0,1,0,0,300446
219,1.0,1,70,1.0,1,1,1,1,0,0,0,0,281874
220,1.0,6,170,4.0,1,0,1,1,0,0,0,0,390657
221,1.0,2,200,4.0,3,0,0,0,1,1,0,0,769295
222,1.0,4,83,3.0,1,0,0,0,0,1,0,0,231270
223,1.0,2,125,3.0,2,0,0,1,1,0,0,0,447750
224,1.0,3,100,3.0,2,0,1,1,0,0,0,0,360707
225,1.0,0,75,3.0,1,0,0,0,0,0,0,0,288485
226,1.0,6,80,3.0,1,0,0,0,0,0,0,0,156264
227,1.0,9,65,3.0,1,0,0,0,0,0,0,0,137632
228,1.0,1,95,4.0,2,1,0,1,0,0,0,0,297500
229,1.0,2,100,4.0,1,1,0,0,0,0,0,0,360607
230,1.0,4,65,3.0,1,0,0,0,0,0,0,0,145842
231,1.0,6,110,4.0,1,0,0,0,0,0,0,0,189318
232,1.0,4,85,4.0,2,0,0,0,0,0,0,0,240405
233,1.0,7,90,4.0,1,0,0,1,0,0,0,0,280000
234,1.0,4,60,3.0,1,0,1,1,0,0,0,0,148050
235,1.0,4,80,3.0,1,0,0,0,0,0,0,0,222074
236,1.0,6,105,4.0,1,0,0,0,0,0,0,0,143642
237,1.0,7,70,3.0,1,0,0,0,0,0,0,0,197733
238,1.0,1,100,4.0,2,0,0,0,0,0,0,0,277395
239,1.0,7,80,3.0,1,0,0,0,0,0,0,0,258014
240,1.0,4,100,4.0,2,0,0,0,0,0,0,0,257233
241,1.0,1,95,3.0,2,1,1,1,0,0,1,0,416501
242,1.0,4,45,1.0,1,0,1,0,0,0,0,0,143512
243,1.0,4,110,3.0,1,0,0,1,0,0,1,0,222384
244,1.0,7,80,3.0,1,1,0,0,0,0,0,0,250800
245,1.0,6,60,3.0,1,0,0,0,0,0,0,0,126213
246,1.0,5,130,4.0,2,1,0,1,0,1,0,0,209000
247,1.0,7,85,4.0,1,0,0,0,0,0,0,0,201339
248,1.0,6,35,1.0,1,0,0,0,0,0,0,0,109000
249,1.0,1,160,5.0,2,0,0,0,0,0,0,0,516870
